PMP Deal Name/Title,Unique Monthly Reach,Category,Subcategory,Subcategory Gradient (Hex Codes),Description,"Persona Playbook  (New Tab in place of ""Data"")","TrueX Attention & Sentiment Surveys (within the new ""Persona Playbook"" Tab)","Gimbal Location SDK Breadcrumb-enabled POIs (within the new ""Persona Playbook"" Tab)",Predictive Storyboards (Tab Header within View Details Modal),"Channel & Device Mix (Within ""Predictive Storyboards"" Tab)",,
Cultured AF,25M,Evergreen,Arts & Culture,#831843 → #F9A8D4,"For the artsy elite who brunch at galleries and vibe at indie bookstores, this deal targets culture vultures craving authentic experiences. Perfect for travel, luxury, or niche retail brands aiming to charm the pretentious with a knowing smirk.","Audience Segments: Art Aficionados, Indie Intellectuals; Signal Sources: Gimbal SDK (galleries, theaters, indie bookstores; dwell >45 min, frequency 2x/week), TrueX Surveys (cultural interests, purchase habits); Behavioral Drivers: Event attendance, social curation; Retargeting Logic: Gallery visitors, culture ad clickers; Modeled with Infillion’s XGraph for niche targeting.","Which cultural events do you attend?

How often do you shop indie brands?

What inspires your travel plans?

Which platforms shape your aesthetic?

Do immersive ads resonate?","Art galleries (i.e., local galleries, The Getty), indie bookstores (i.e., The Last Bookstore, Skylight Books), theaters (i.e., AMC, local playhouses), boutique cafes (i.e., Urth Caff√©, local artisanal spots); dwell time: 45→ ì90 min, frequency: 2→ ì4 visits/week, historical lookback: January 2025 to TTL refresh every 30 days.",Upper Funnel: Vertical Video – captures artistic vibes; Mid Funnel: Curated Lookbooks – builds trust; Lower Funnel: Book Now CTAs – drives bookings. Plus: Open Web retargeting during cultural browsing. Formats powered by AI-driven creative performance.,"Programmatic OpenWeb Display (Art Blogs, Travel Sites), Video (Cultural Streaming); Devices: iPad Pro (iOS 15+), MacBook Pro (macOS Ventura+), Smart TVs (Samsung); OS: iOS 15+, macOS 13+; Carriers: AT&T, T-Mobile; Cross-device: Individual-level tracking for tablet-to-laptop during weekend gallery visits (10 AM–4 PM) and evening culture binges (8 PM–11 PM).",,
What's Your Rising?,20M,Evergreen,Religion & Spirituality,#5B21B6 → #C4B5FD,"Astrology buffs and cosmic curious unite in this deal for star-gazers obsessed with horoscopes and manifesting vibes. Ideal for wellness, fashion, or spiritual brands targeting the zodiac-obsessed with a playful, celestial edge.","Audience Segments: Cosmic Curators, Zodiac Zealots; Signal Sources: Gimbal SDK (metaphysical shops, wellness centers, bookstores; dwell >30 min, frequency 2x/week), TrueX Surveys (astrology engagement, purchase triggers); Behavioral Drivers: Social media trends, spiritual exploration; Retargeting Logic: Metaphysical shop visitors, astrology ad clickers; Modeled with Infillion’s XGraph for cosmic affinity.","How often do you check your horoscope?

Which spiritual products do you buy?

What’s your go-to astrology app?

Do zodiac-themed ads catch your eye?

How important are personalized offers?","Metaphysical shops (i.e., The Crystal Matrix, local occult stores), wellness centers (i.e., The Den Meditation, local yoga retreats), bookstores (spirituality sections at Barnes & Noble, indie bookstores), yoga studios (i.e., YogaWorks, local studios); dwell time: 30→ ì60 min, frequency: 2→ ì4 visits/week, historical lookback: January 2025 to TTL refresh every 30 days.",Upper Funnel: Vertical Video – evokes cosmic vibes; Mid Funnel: Zodiac Quizzes – engages users; Lower Funnel: Shop Now CTAs – drives purchases. Plus: Retargeting on mobile during spiritual scrolling. Formats optimized via Predictive Storyboard analytics.,"Programmatic OpenWeb Video (Wellness Apps, Spiritual Sites), Display (Banners on Astrology Blogs); Devices: iPhone 12+, Google Pixel 6 (Android 12+), Smart TVs (Roku); OS: iOS 15+, Android 12+; Carriers: Verizon, T-Mobile; Cross-device: Household clusters for phone-to-TV during late-night cosmic scrolls (10 PM–1 AM) and morning mindfulness (6 AM–8 AM).",,
This Car Could Be Yours!,35M,Evergreen,Automotive,#B91C1C → #FCA5A5,"Rev up for auto enthusiasts dreaming of shiny new rides. This deal targets car shoppers and gearheads for automotive, insurance, or accessory brands, with a cheeky nod to their horsepower fantasies.","Audience Segments: Car Dreamers, Gearhead Gurus; Signal Sources: Gimbal SDK (dealerships, auto parts stores, car shows; dwell >45 min, frequency 2x/week), TrueX Surveys (car preferences, purchase intent); Behavioral Drivers: Research habits, social sharing; Retargeting Logic: Dealership visitors, auto ad clickers; Modeled with Infillion’s XGraph for auto affinity.","What’s your dream car brand?

How often do you visit dealerships?

Which accessories do you prioritize?

What’s your go-to car research platform?

Do interactive ads drive engagement?","Car dealerships (i.e., Toyota, Ford, Tesla), auto parts stores (i.e., AutoZone, OReilly Auto Parts, Advance Auto Parts), car shows (i.e., SEMA, local auto expos), service centers (i.e., Jiffy Lube, Midas); dwell time: 45→ ì90 min, frequency: 2→ ì4 visits/week, historical lookback: January 2025 to TTL refresh every 30 days.",Upper Funnel: Vertical Video – showcases sleek rides; Mid Funnel: Interactive Configurators – builds excitement; Lower Funnel: Test Drive CTAs – drives bookings. Plus: Open Web retargeting during car research. Formats powered by AI-driven creative performance.,"Programmatic OpenWeb Video (Auto Review Sites, Streaming Apps), Display (Banners on Car Forums); Devices: iPhone 14+, Samsung Galaxy S23 (Android 13+), Laptops (Dell XPS, HP Spectre); OS: iOS 16+, Android 13+; Carriers: AT&T, Verizon; Cross-device: Individual-level tracking for phone-to-laptop during weekend dealership visits (10 AM–3 PM) and evening research (7 PM–10 PM).",,
Prose Posse,22M,Evergreen,Literary,#1E3A8A → #60A5FA,"Bookworms and literary snobs unite in this deal for avid readers who haunt bookstores and sip coffee while debating prose. Perfect for publishing, coffee, or lifestyle brands targeting the intellectually smug.","Audience Segments: Lit Lovers, Coffeehouse Critics; Signal Sources: Gimbal SDK (bookstores, cafes, libraries; dwell >45 min, frequency 3x/week), TrueX Surveys (reading habits, genre preferences); Behavioral Drivers: Social media book clubs, event attendance; Retargeting Logic: Bookstore visitors, literary ad clickers; Modeled with Infillion’s XGraph for reader targeting.","What genres do you read?

How often do you visit bookstores?

Which authors influence your purchases?

What’s your go-to reading platform?

Do immersive ads spark interest?","Bookstores (i.e., Barnes & Noble, Strand Bookstore, indie shops), cafes (i.e., Starbucks, local roasters like Blue Bottle), libraries (i.e., public libraries, university libraries); dwell time: 45→ ì90 min, frequency: 3→ ì5 visits/week, historical lookback: January 2025 to TTL refresh every 30 days.",Upper Funnel: Vertical Video – evokes literary vibes; Mid Funnel: Book Preview Sliders – engages readers; Lower Funnel: Shop Now CTAs – drives purchases. Plus: Open Web retargeting during reading hours. Formats optimized via Predictive Intelligence.,"Programmatic OpenWeb Display (Book Blogs, E-Reader Sites), Video (Literary Streaming); Devices: iPad Air (iOS 15+), MacBook Air (macOS Ventura+), Smart TVs (LG); OS: iOS 15+, macOS 13+; Carriers: T-Mobile, Spectrum; Cross-device: Individual-level tracking for tablet-to-laptop during cozy reading hours (8 PM–11 PM) and weekend bookstore runs (11 AM–3 PM).",,
Xshorts? Never Heard of Her,30M,Evergreen,Brand-Safety,#DB2777 → #F9A8D4,"This deal targets short-form video addicts scrolling Xshorts for their next viral fix. Ideal for entertainment, fashion, or snack brands catching eyes in the infinite scroll with a sarcastic smirk.","Audience Segments: Scroll Savants, Viral Vanguards; Signal Sources: Gimbal SDK (coffee shops, retail, transit hubs; dwell >30 min, frequency 3x/week), TrueX Surveys (content preferences, ad engagement); Behavioral Drivers: Social media addiction, trend chasing; Retargeting Logic: Video ad clickers, Xshorts users; Modeled with Infillion’s XGraph for scroll-based targeting.","What types of videos keep you scrolling?

How often do you shop via social ads?

Which brands go viral for you?

What’s your go-to platform for trends?

Do interactive ads hook you?","Coffee shops (i.e., Starbucks, Dunkin, local cafes), retail stores (i.e., Target, H&M, Zara), transit hubs (i.e., bus stations, train stations, airports); dwell time: 30→ ì60 min, frequency: 3→ ì5 visits/week, historical lookback: January 2025 to TTL refresh every 30 days.",Upper Funnel: Vertical Video – mimics Xshorts vibe; Mid Funnel: Swipeable Stories – drives engagement; Lower Funnel: One-Tap Checkout – seamless purchases. Plus: Retargeting on mobile during scroll sessions. Formats powered by AI-driven creative analytics.,"Programmatic OpenWeb Video (Entertainment Apps, Trend Blogs), Display (Banners on Lifestyle Sites); Devices: iPhone 13+, Google Pixel 7 (Android 13+), Laptops (Lenovo ThinkPad); OS: iOS 16+, Android 13+; Carriers: Verizon, AT&T; Cross-device: Individual-level tracking for phone-to-laptop during late-night scroll marathons (10 PM–2 AM).",,
Smoke Weed Everyday,18M,Evergreen,Sensitive - Cannabis & CBD,#15803D → #86EFAC,"In line with Infillion’s Ad Content Guidelines, this deal targets cannabis enthusiasts vibing with dispensary runs and chill sessions. Perfect for cannabis-adjacent brands navigating the green scene with a laid-back wink.","Audience Segments: Chill Connoisseurs, Stash Shoppers; Signal Sources: TrueX Surveys (cannabis preferences, purchase habits); Behavioral Drivers: Social relaxation, premium purchases; Retargeting Logic: Dispensary proximity, cannabis ad clickers; Modeled with Infillion’s XGraph for lifestyle targeting.","
How often do you visit dispensaries?

Which cannabis products do you prefer?

What’s your go-to chill spot?

Do you engage with lifestyle ads?

How important are exclusive deals?","In line with Infillion Ad Content Guidelines, this deal leverages survey-driven insights instead of location-based POIs for sensitive categories.",Upper Funnel: Vertical Video – sets chill vibes; Mid Funnel: Product Sliders – showcases variety; Lower Funnel: Shop Now CTAs – drives purchases. Plus: Retargeting on mobile during leisure hours. Formats optimized via Predictive Storyboard analytics.,"Programmatic OpenWeb Video (Lifestyle Streaming, Wellness Sites), Display (Banners on Chill Blogs); Devices: iPhone 12+, Samsung Galaxy A53 (Android 12+), Smart TVs (Roku, Amazon Fire); OS: iOS 15+, Android 12+; Carriers: T-Mobile, Verizon; Cross-device: Household clusters for phone-to-CTV during evening relaxation (8 PM–12 AM).",,
Good Luck Players,25M,Evergreen,Sensitive - Gambling & Betting,#B91C1C → #FCA5A5,"In line with Infillion’s Ad Content Guidelines, this deal targets lottery enthusiasts and casual gamblers chasing their lucky break. Ideal for gaming or betting brands aiming to spark dreams with a cheeky edge.","Audience Segments: Luck Chasers, Casual Bettors; Signal Sources: TrueX Surveys (gaming habits, purchase intent); Behavioral Drivers: Social engagement, risk-taking; Retargeting Logic: Betting app users, gaming ad clickers; Modeled with Infillion’s XGraph for thrill-based targeting.","How often do you play lotteries?

Which betting platforms do you use?

What’s your go-to lucky ritual?

Do interactive ads spark excitement?

How important are quick-play offers?","In line with Infillion Ad Content Guidelines, this deal leverages survey-driven insights instead of location-based POIs for sensitive categories.",Upper Funnel: Vertical Video – evokes winning vibes; Mid Funnel: Interactive Odds Games – engages players; Lower Funnel: Play Now CTAs – drives action. Plus: Retargeting on mobile during gaming hours. Formats powered by AI-driven creative performance.,"Programmatic OpenWeb Video (Gaming Sites, Streaming Apps), Display (Banners on Betting Blogs); Devices: iPhone 13+, Google Pixel 6 (Android 12+), Smart TVs (Samsung); OS: iOS 15+, Android 12+; Carriers: AT&T, T-Mobile; Cross-device: Individual-level tracking for phone-to-TV during lottery draw nights (7 PM–10 PM).",,
Succession Meets Mom & Pop,22M,Evergreen,Obligated Shoppers,#1E3A8A → #60A5FA,"For small business stans who dream of empire-building while shopping local, this deal targets entrepreneurial spirits and community supporters. Perfect for SaaS, retail, or finance brands with a nod to scrappy ambition.","Audience Segments: Local Loyalists, Startup Dreamers; Signal Sources: Gimbal SDK (local shops, co-working spaces, cafes; dwell >45 min, frequency 3x/week), TrueX Surveys (business goals, purchase habits); Behavioral Drivers: Community support, social media; Retargeting Logic: Local shop visitors, business ad clickers; Modeled with Infillion’s XGraph for local affinity.","How often do you shop local?

What business tools do you use?

Which brands support your community?

What’s your go-to platform for business tips?

Do interactive ads inspire action?","Local shops (i.e., independent boutiques, hardware stores), co-working spaces (i.e., WeWork, local hubs), cafes (i.e., Starbucks, local roasters), farmers markets (i.e., local weekend markets); dwell time: 45→ ì90 min, frequency: 3→ ì5 visits/week, historical lookback: January 2025 to TTL refresh every 30 days.",Upper Funnel: Vertical Video – celebrates local vibes; Mid Funnel: Success Stories – builds trust; Lower Funnel: Sign-Up CTAs – drives subscriptions. Plus: Open Web retargeting during business browsing. Formats optimized via Predictive Intelligence.,"Programmatic OpenWeb Display (Business Blogs, Local Retail Sites), Video (SaaS Platforms); Devices: MacBook Pro (macOS Ventura+), iPhone 14+ (iOS 16+), Laptops (Dell XPS); OS: iOS 16+, macOS 13+; Carriers: Verizon, Spectrum; Cross-device: Individual-level tracking for laptop-to-phone during weekday co-working (9 AM–3 PM) and evening networking (6 PM–9 PM).",,
Varsity Shoppers,40M,Meeting Moments,Back-to-School Blitz,#4B5563 → #9CA3AF,"High school and college kids gearing up for the academic grind. This deal targets teens and young adults splurging on gear, tech, and snacks for the school year with a sardonic nod to their hustle.","Audience Segments: Academic Achievers, Trendy Teens; Signal Sources: Gimbal SDK (school supply stores, tech retailers, QSRs; dwell >30 min, frequency 3x/week), TrueX Surveys (school prep, purchase drivers); Behavioral Drivers: Social trends, mobile shopping; Retargeting Logic: Campus proximity, school ad clickers; Modeled with Infillion’s XGraph for student targeting.","What school supplies do you prioritize?

How often do you shop for tech?

Which brands define your style?

What’s your go-to social platform?

Do dynamic ads catch your eye?","Tech stores (i.e., Best Buy, Micro Center), co-working spaces (i.e., WeWork, local tech hubs), cafes (i.e., Starbucks, local roasters), tech meetups (i.e., blockchain conferences, local crypto events); dwell time: 45→ ì90 min, frequency: 2→ ì4 visits/week, historical lookback: January 2025 to TTL refresh every 30 days.",Upper Funnel: Vertical Video – captures school vibes; Mid Funnel: Shoppable Lookbooks – inspires purchases; Lower Funnel: Add-To-Cart – seamless checkout. Plus: Retargeting on mobile during study breaks. Formats powered by AI-driven creative analytics.,"Programmatic OpenWeb Video (Education Apps, Retail Sites), Display (Banners on Tech Blogs); Devices: iPhone 13+, Samsung Galaxy A54 (Android 13+), Laptops (HP Pavilion); OS: iOS 16+, Android 13+; Carriers: T-Mobile, AT&T; Cross-device: Household clusters for phone-to-laptop during after-school shopping (3 PM–7 PM) and weekend mall runs (11 AM–4 PM).",,
Hodl Herd,20M,Evergreen,Sensitive - Crypto & Trading,#B45309 → #FBBF24,"Crypto bros and blockchain believers unite in this deal for digital asset enthusiasts. Perfect for fintech, tech, or lifestyle brands targeting the decentralized dreamers with a tongue-in-cheek vibe.","Audience Segments: Crypto Crusaders, Blockchain Believers; Signal Sources: Gimbal SDK (tech stores, co-working spaces, cafes; dwell >45 min, frequency 2x/week), TrueX Surveys (crypto habits, investment goals); Behavioral Drivers: Social media trends, app usage; Retargeting Logic: Crypto app users, tech ad clickers; Modeled with Infillion’s XGraph for crypto affinity.","How often do you trade crypto?

Which platforms do you trust?

What’s your go-to investment app?

Do crypto-themed ads resonate?","Bars (i.e., local craft beer spots, rooftop lounges), cafes (i.e., Starbucks, local bistros), retail (i.e., Sephora, H&M, Zara), date-night restaurants (i.e., The Cheesecake Factory, local farm-to-table spots); dwell time: 30→ ì60 min, frequency: 3→ ì5 visits/week, historical lookback: January 2025 to TTL refresh every 30 days.",Upper Funnel: Vertical Video – evokes crypto hype; Mid Funnel: Interactive Charts – engages investors; Lower Funnel: Sign-Up CTAs – drives registrations. Plus: Open Web retargeting during trading hours. Formats optimized via Predictive Storyboard analytics.,"Programmatic OpenWeb Video (Crypto News Sites, Fintech Apps), Display (Banners on Trading Blogs); Devices: iPhone 14+, Google Pixel 8 (Android 13+), Laptops (ASUS ROG); OS: iOS 16+, Android 13+; Carriers: Verizon, T-Mobile; Cross-device: Individual-level tracking for phone-to-laptop during late-night trading (11 PM–3 AM) and weekend portfolio checks (10 AM–2 PM).",,
Swipe Right,30M,Meeting Moments,Romance,#DB2777 _ #F9A8D4,"For hopeless romantics and serial swipers, this deal targets dating app devotees looking for love or a fling. Ideal for lifestyle, beauty, or dining brands catching hearts with a playful wink.","Audience Segments: Love Seekers, Casual Swipers; Signal Sources: Gimbal SDK (bars, cafes, retail; dwell >30 min, frequency 3x/week), TrueX Surveys (dating habits, purchase intent); Behavioral Drivers: Social outings, mobile engagement; Retargeting Logic: Dating app users, lifestyle ad clickers; Modeled with Infillion’s XGraph for romantic targeting.","How important are exclusive offers?

How often do you use dating apps?

What’s your go-to date spot?

Which brands enhance your dating game?","Hardware stores (i.e., Home Depot, Lowe, Ace Hardware), garden centers (i.e., local nurseries, Armstrong Garden Centers), furniture retail (i.e., IKEA, Ashley Furniture); dwell time: 45→ ì90 min, frequency: 2→ ì4 visits/week, historical lookback: January 2025 to TTL refresh every 30 days.",Upper Funnel: Vertical Video – sets romantic vibes; Mid Funnel: Date Idea Sliders – inspires plans; Lower Funnel: Book Now CTAs – drives reservations. Plus: Retargeting on mobile during swiping sessions. Formats powered by AI-driven creative performance.,"Programmatic OpenWeb Video (Lifestyle Apps, Dating Blogs), Display (Banners on Retail Sites); Devices: iPhone 13+, Samsung Galaxy S22 (Android 12+), Laptops (MacBook Air); OS: iOS 15+, Android 12+; Carriers: AT&T, Verizon; Cross-device: Individual-level tracking for phone-to-laptop during evening swiping (8 PM–11 PM) and weekend date planning (2 PM–6 PM).",,
Home Depot Honeys,35M,Evergreen,DIY,#B91C1C _ #FCA5A5,"DIY queens and weekend project kings flock to this deal for home improvement enthusiasts. Perfect for hardware, decor, or tool brands targeting the hands-on crowd with a gritty charm.","Audience Segments: DIY Dynamos, Home Improvers; Signal Sources: Gimbal SDK (hardware stores, garden centers, furniture retail; dwell >45 min, frequency 2x/week), TrueX Surveys (project habits, purchase drivers); Behavioral Drivers: Research habits, social sharing; Retargeting Logic: Hardware store visitors, DIY ad clickers; Modeled with Infillion’s XGraph for project-based targeting.","
What’s your latest DIY project?

How often do you shop at hardware stores?

Which tools do you prioritize?

What’s your go-to project inspiration platform?

Do dynamic ads drive engagement?","Bookstores (i.e., Barnes & Noble, Powell Books, indie bookstores), libraries (i.e., public libraries, university libraries), university campuses (i.e., UCLA, NYU), co-working spaces (i.e., WeWork, local hubs); dwell time: 45→ ì90 min, frequency: 3→ ì5 visits/week, historical lookback: January 2025 to TTL refresh every 30 days.",Upper Funnel: Vertical Video – showcases project wins; Mid Funnel: How-To Guides – builds trust; Lower Funnel: Shop Now CTAs – drives purchases. Plus: Open Web retargeting during project planning. Formats optimized via Predictive Intelligence.,"Programmatic OpenWeb Video (DIY Blogs, Home Improvement Apps), Display (Banners on Hardware Sites); Devices: iPad Pro (iOS 15+), Samsung Galaxy Tab S8 (Android 12+), Laptops (HP Omen); OS: iOS 15+, Android 12+; Carriers: T-Mobile, Spectrum; Cross-device: Household clusters for tablet-to-laptop during weekend project planning (9 AM–1 PM) and evening tutorials (7 PM–10 PM).",,
Knowledge Is Power,28M,Evergreen,Education & Learning,#B91C1C → #FCA5A5,"For lifelong learners and trivia nerds, this deal targets those chasing intellectual flexes at bookstores, libraries, or online courses. Ideal for education, tech, or publishing brands with a witty nod to brainy ambition.","Audience Segments: Brainy Bookworms, Course Collectors; Signal Sources: Gimbal SDK (bookstores, libraries, universities; dwell >45 min, frequency 3x/week), TrueX Surveys (learning habits, course preferences); Behavioral Drivers: App usage, social engagement; Retargeting Logic: Bookstore visitors, education ad clickers; Modeled with Infillion’s XGraph for knowledge-based targeting.","Do interactive ads spark interest?

What topics do you study?

How often do you buy educational materials?

Which platforms support your learning?

What’s your go-to study spot?

Do immersive ads inspire action?","Restaurants (i.e., local bistros, The Cheesecake Factory), grocery stores (i.e., Whole Foods, Trader Joe, Sprouts), cooking schools (i.e., Sur La Table, local culinary workshops), farmers markets (i.e., local weekend markets); dwell time: 30→ ì60 min, frequency: 3→ ì5 visits/week, historical lookback: January 2025 to TTL refresh every 30 days.",Upper Funnel: Vertical Video – celebrates learning; Mid Funnel: Course Previews – engages learners; Lower Funnel: Sign-Up CTAs – drives enrollments. Plus: Open Web retargeting during study sessions. Formats powered by AI-driven creative analytics.,"Programmatic OpenWeb Video (E-Learning Platforms, Education Blogs), Display (Banners on Study Sites); Devices: MacBook Pro (macOS Ventura+), iPad Air (iOS 15+), Laptops (Dell XPS); OS: iOS 15+, macOS 13+; Carriers: Verizon, AT&T; Cross-device: Individual-level tracking for laptop-to-tablet during evening study sessions (7 PM–10 PM) and weekend course browsing (10 AM–2 PM).",,
The Food Eats First,32M,Evergreen,Foodies & Eating Out,#1E3A8A → #60A5FA,"Foodies who snap pics before bites, this deal targets culinary obsessives at restaurants, markets, or cooking classes. Perfect for food, kitchenware, or delivery brands with a savory, self-aware twist.","Audience Segments: Culinary Creators, Foodie Influencers; Signal Sources: Gimbal SDK (restaurants, grocery stores, cooking schools; dwell >30 min, frequency 3x/week), TrueX Surveys (dining habits, recipe sources); Behavioral Drivers: Social media sharing, app usage; Retargeting Logic: Restaurant visitors, food ad clickers; Modeled with Infillion’s XGraph for foodie targeting.","What cuisines do you crave?

How often do you try new restaurants?

Which food brands inspire you?

What’s your go-to recipe platform?

Do interactive ads whet your appetite?","Restaurants, grocery stores (i.e. Whole Foods, Trader Joe’s), cooking schools, farmers markets; dwell time: 30–60 min, frequency: 3–5 visits/week, historical lookback: January 2025 to TTL refresh every 30 days.",Upper Funnel: Vertical Video – showcases dishes; Mid Funnel: Recipe Sliders – inspires cooking; Lower Funnel: Order Now CTAs – drives delivery. Plus: Retargeting on mobile during meal planning. Formats optimized via Predictive Storyboard analytics.,"Programmatic OpenWeb Video (Food Delivery Apps, Culinary Blogs), Display (Banners on Grocery Sites); Devices: iPhone 14+, Samsung Galaxy S23 (Android 13+), Smart TVs (Samsung); OS: iOS 16+, Android 13+; Carriers: T-Mobile, Verizon; Cross-device: Household clusters for phone-to-TV during pre-dinner scrolls (5 PM–8 PM) and weekend foodie outings (12 PM–4 PM).",,
"Yes, I love Technology... But Not As Much As You You See!",38M,Evergreen,Early Adopters & Technology,#1D4ED8 → #93C5FD,"Tech nerds and gadget geeks unite in this deal for early adopters chasing the latest devices. Ideal for tech, gaming, or accessory brands targeting the plugged-in with a sarcastic tech-bro vibe.","Audience Segments: Gadget Gurus, Tech Trendsetters; Signal Sources: Gimbal SDK (electronics stores, tech events, cafes; dwell >45 min, frequency 2x/week), TrueX Surveys (tech preferences, purchase intent); Behavioral Drivers: App usage, social trends; Retargeting Logic: Tech store visitors, gadget ad clickers; Modeled with Infillion’s XGraph for tech affinity.","What’s your latest tech obsession?

How often do you shop for gadgets?

Which brands define innovation?

What’s your go-to tech news platform?

Do dynamic ads spark interest?","Electronics stores (i.e. Best Buy, Apple Store), tech events, cafes; dwell time: 45–90 min, frequency: 2–4 visits/week, historical lookback: January 2025 to TTL refresh every 30 days.",Upper Funnel: Vertical Video – showcases tech; Mid Funnel: Feature Sliders – builds excitement; Lower Funnel: Shop Now CTAs – drives purchases. Plus: Open Web retargeting during tech browsing. Formats powered by AI-driven creative performance.,"Programmatic OpenWeb Video (Tech Review Sites, Gadget Apps), Display (Banners on Tech Forums); Devices: iPhone 14+, Google Pixel 7 Pro (Android 13+), Laptops (ASUS ZenBook); OS: iOS 16+, Android 13+; Carriers: AT&T, Verizon; Cross-device: Individual-level tracking for phone-to-laptop during evening gadget research (8 PM–11 PM) and weekend store visits (11 AM–3 PM).",,
GG GG,25M,Evergreen,Esports & Gamers,#B91C1C → #FCA5A5,"Gamers who live for headshots and leaderboard glory. This deal targets esports fans and casual players for gaming, tech, or snack brands with a cheeky nod to their grind.","Audience Segments: Esports Elites, Casual Gamers; Signal Sources: Gimbal SDK (gaming stores, cafes, tech retailers; dwell >45 min, frequency 2x/week), TrueX Surveys (gaming habits, purchase drivers); Behavioral Drivers: App usage, social engagement; Retargeting Logic: Gaming store visitors, game ad clickers; Modeled with Infillion’s XGraph for gamer targeting.","What games do you play?

How often do you buy gaming gear?

Which platforms host your sessions?

What’s your go-to gaming snack?

Do interactive ads level up your interest?","Gaming stores (i.e. GameStop), cafes, tech retailers (i.e. Best Buy); dwell time: 45–90 min, frequency: 2–4 visits/week, historical lookback: January 2025 to TTL refresh every 30 days.",Upper Funnel: Vertical Video – captures gaming hype; Mid Funnel: Gear Showcases – engages players; Lower Funnel: Shop Now CTAs – drives purchases. Plus: Retargeting on mobile/CTV during gaming sessions. Formats optimized via Predictive Intelligence.,"Programmatic OpenWeb Video (Gaming Apps, Streaming Sites), Display (Banners on Esports Blogs); Devices: PS5, Xbox Series X, iPhone 13+ (iOS 15+), Laptops (Alienware); OS: iOS 15+, Windows 11; Carriers: Verizon, T-Mobile; Cross-device: Household clusters for console-to-phone during late-night gaming (10 PM–2 AM) and weekend tournaments (1 PM–6 PM).",,
Pot It Like Its Hot,20M,Evergreen,Home & Garden,#15803D → #86EFAC,"Plant parents and green thumbs unite in this deal for botanical buffs tending their urban jungles. Perfect for gardening, decor, or lifestyle brands with a leafy, sarcastic charm.","Audience Segments: Plant Parents, Green Gurus; Signal Sources: Gimbal SDK (garden centers, home decor stores, farmers markets; dwell >45 min, frequency 2x/week), TrueX Surveys (plant care habits, purchase intent); Behavioral Drivers: Social media aesthetics, app usage; Retargeting Logic: Garden center visitors, plant ad clickers; Modeled with Infillion’s XGraph for botanical targeting.","What plants do you own?

How often do you shop for gardening supplies?

Which brands support your green vibe?

What’s your go-to plant care app?

Do dynamic ads grow your interest?
","Garden centers, home decor stores (i.e. IKEA, West Elm), farmers markets; dwell time: 45–90 min, frequency: 2–4 visits/week, historical lookback: January 2025 to TTL refresh every 30 days.",Upper Funnel: Vertical Video – showcases greenery; Mid Funnel: Care Tip Sliders – engages plant lovers; Lower Funnel: Shop Now CTAs – drives purchases. Plus: Open Web retargeting during gardening planning. Formats powered by AI-driven creative analytics.,"Programmatic OpenWeb Video (Gardening Apps, Decor Blogs), Display (Banners on Plant Care Sites); Devices: iPhone 12+, Samsung Galaxy Tab S8 (Android 12+), Smart TVs (LG); OS: iOS 15+, Android 12+; Carriers: AT&T, Spectrum; Cross-device: Individual-level tracking for phone-to-tablet during weekend gardening (10 AM–2 PM) and evening plant care (7 PM–10 PM).",,
Get Well Soon,28M,Evergreen,Pharmacy,#6B7280 → #D1D5DB,"In line with Infillion’s Ad Content Guidelines, this deal targets health-conscious folks seeking wellness solutions. Ideal for OTC meds, wellness, or healthcare brands with a caring yet cheeky tone.","Audience Segments: Wellness Warriors, Health Seekers; Signal Sources: TrueX Surveys (health concerns, purchase habits); Behavioral Drivers: Research habits, app usage; Retargeting Logic: Health app users, wellness ad clickers; Modeled with Infillion’s XGraph for health-based targeting.","How often do you shop for wellness products?

Which health brands do you trust?

What’s your go-to health app?

Do health-focused ads resonate?

How important are quick-delivery offers?","In line with Infillion’s Ad Content Guidelines, this deal leverages survey-driven insights instead of location-based POIs for sensitive categories.",Upper Funnel: Vertical Video – promotes wellness; Mid Funnel: Health Tips – builds trust; Lower Funnel: Shop Now CTAs – drives purchases. Plus: Retargeting on mobile during health research. Formats optimized via Predictive Storyboard analytics.,"Programmatic OpenWeb Video (Health Apps, Wellness Sites), Display (Banners on Medical Blogs); Devices: iPhone 13+, Google Pixel 6 (Android 12+), Smart TVs (Roku); OS: iOS 15+, Android 12+; Carriers: Verizon, T-Mobile; Cross-device: Individual-level tracking for phone-to-TV during morning wellness checks (6 AM–9 AM) and evening health searches (8 PM–10 PM).",,
